partition,test_type,status,owner,model
pard2d1misc,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Emmanuel,nio_d2d-a0-26ww12a
pard2d1misc,atspeed_edt_edt_low_internal_serial_scan,FAIL,Emmanuel,nio_d2d-a0-26ww12a
pard2d1misc,ijtag_basic_tap_tests_rw_access,FAIL,Emmanuel,nio_d2d-a0-26ww12a
pard2d1misc,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Emmanuel,nio_d2d-a0-26ww12a
pard2d1misc,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,MISSING,Emmanuel,nio_d2d-a0-26ww12a
pard2d1misc,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel,nio_d2d-a0-26ww12a
pard2d1misc,stuckat_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_d2d-a0-26ww12a
pard2d1misc,stuckat_edt_edt_low_internal_serial_chain,PASS,Emmanuel,nio_d2d-a0-26ww12a
pard2d1misc,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_d2d-a0-26ww12a
parmcmse,atspeed_edt_bypass_low_internal_serial_scan,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmcmse,atspeed_edt_edt_low_internal_serial_scan,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmcmse,ijtag_basic_tap_tests_rw_access,PASS,Emmanuel,nio_mc-a0-26ww12b
parmcmse,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmcmse,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmcmse,stuckat_edt_bypass_low_internal_serial_chain,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmcmse,stuckat_edt_bypass_low_internal_serial_scan,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmcmse,stuckat_edt_edt_low_internal_serial_chain,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmcmse,stuckat_edt_edt_low_internal_serial_scan,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmemsram,atspeed_edt_bypass_low_internal_serial_scan,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmemsram,atspeed_edt_edt_low_internal_serial_scan,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmemsram,ijtag_basic_tap_tests_rw_access,PASS,Emmanuel,nio_mc-a0-26ww12b
parmemsram,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmemsram,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmemsram,stuckat_edt_bypass_low_internal_serial_chain,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmemsram,stuckat_edt_bypass_low_internal_serial_scan,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmemsram,stuckat_edt_edt_low_internal_serial_chain,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmemsram,stuckat_edt_edt_low_internal_serial_scan,MISSING,Emmanuel,nio_mc-a0-26ww12b
parmiofblprxfcrarbmux,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Emmanuel,nio_uio-a0-26ww11a
parmiofblprxfcrarbmux,atspeed_edt_edt_low_internal_serial_scan,FAIL,Emmanuel,nio_uio-a0-26ww11a
parmiofblprxfcrarbmux,ijtag_basic_tap_tests_rw_access,PASS,Emmanuel,nio_uio-a0-26ww11a
parmiofblprxfcrarbmux,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Emmanuel,nio_uio-a0-26ww11a
parmiofblprxfcrarbmux,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,MISSING,Emmanuel,nio_uio-a0-26ww11a
parmiofblprxfcrarbmux,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel,nio_uio-a0-26ww11a
parmiofblprxfcrarbmux,stuckat_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww11a
parmiofblprxfcrarbmux,stuckat_edt_edt_low_internal_serial_chain,PASS,Emmanuel,nio_uio-a0-26ww11a
parmiofblprxfcrarbmux,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww11a
