test_name,test_status,test_result
memstack_mc_cluster_parmcmse_ijtag_basic_tap_tests_reset,PASS,PASS
memstack_mc_cluster_parmcmse_ijtag_basic_tap_tests_reset,PASS,PASS
memstack_pardfi_ijtag_basic_tap_tests_reset,PASS,PASS
memstack_phy_cluster_parmemsram_ijtag_basic_tap_tests_rw_access,PASS,PASS
memstack_phy_cluster_parmemsram_ijtag_basic_tap_tests_reset,PASS,PASS
memstack_mc_cluster_parmccore_ijtag_basic_tap_tests_reset,PASS,PASS
memstack_mc_cluster_parmcmse_ijtag_basic_tap_tests_rw_access,PASS,PASS
memstack_mc_cluster_parmccore_ijtag_basic_tap_tests_rw_access,PASS,PASS
memstack_mc_cluster_parmcmse_ijtag_basic_tap_tests_rw_access,PASS,PASS
memstack_phy_cluster_parmemsram_ijtag_basic_tap_tests_continuity,PASS,PASS
memstack_pardfi_ijtag_basic_tap_tests_rw_access,PASS,PASS
memstack_mc_cluster_parmcmse_ijtag_basic_tap_tests_continuity,PASS,PASS
memstack_mc_cluster_parmcmse_ijtag_basic_tap_tests_continuity,PASS,PASS
memstack_mc_cluster_parmccore_ijtag_basic_tap_tests_continuity,PASS,PASS
memstack_pardfi_ijtag_basic_tap_tests_continuity,PASS,PASS
